Role,Name,C,C++,Problem Solving Skills,Python,ML,AI,Pandas,SQL,Statistics,Debugging
C Developer,Meghan Perry,5,2,5,1,0,5,0,0,5,5
C Developer,Joyce Jackson,4,4,5,0,3,0,3,0,5,3
C Developer,Nicholas Ball,5,0,4,4,1,4,2,3,4,0
C Developer,Miss Maria Cooper,5,4,5,3,2,2,1,0,5,4
C Developer,Mackenzie Ryan,4,3,5,2,0,5,2,2,4,1
C Developer,Michael Castillo,5,0,4,3,1,5,1,1,4,3
C Developer,Michael Campbell,5,4,4,4,0,4,2,2,4,0
C Developer,Adrian Hill,5,3,5,4,1,2,3,4,5,5
C Developer,Sheila Hill,4,1,5,1,0,4,3,0,5,2
C Developer,Mary Brown,5,2,4,3,0,3,0,4,5,2
C Developer,Shane Ross,5,0,5,0,1,5,1,0,4,4
C Developer,Mr. Paul Wallace,5,2,4,3,0,1,2,4,4,3
C Developer,Angela Duffy,5,2,4,4,3,4,2,3,4,0
C Developer,Steven Brown,5,0,4,0,0,4,0,3,4,0
C Developer,Michael Huang,4,1,4,3,1,3,1,3,5,1
C Developer,Michael Smith,4,3,5,4,0,4,1,0,5,4
C Developer,Megan Smith,4,0,5,2,3,0,2,0,4,3
C Developer,Jeffrey Hale,4,0,4,0,2,0,3,0,5,0
C Developer,Lauren Bryant,4,0,4,0,0,1,1,2,5,0
C Developer,Lori Smith,5,3,4,0,3,1,3,4,4,2
C Developer,Erin Paul,4,4,4,2,2,2,3,3,4,2
C Developer,Steven Martin,5,3,4,4,3,2,3,1,5,1
C Developer,Rachel Cook,5,4,5,2,1,1,2,4,4,5
C Developer,Kimberly King,5,1,5,0,1,3,3,1,4,1
C Developer,Allison Knight,5,2,5,3,3,4,2,2,5,4
C Developer,Matthew Blake,4,3,4,4,0,3,3,2,4,5
C Developer,Cassie Carter,4,4,4,0,2,5,3,4,4,3
C Developer,Colleen Gross,4,4,5,1,3,2,2,2,4,5
C Developer,John Carter,4,4,4,4,0,2,1,3,4,0
C Developer,Desiree Barrett,5,4,5,3,0,5,0,4,4,1
C Developer,Tommy Nielsen,4,0,4,4,0,3,1,0,5,3
C Developer,Linda Reese,5,4,4,3,3,2,0,1,4,0
C Developer,Nicholas Vasquez,5,0,4,4,0,0,2,2,4,2
C Developer,Julia Hurley,4,2,5,3,1,2,3,4,5,2
C Developer,Ashley Miller,5,3,4,3,1,0,1,3,4,5
C Developer,Paige Wilkerson,5,0,4,0,2,2,3,3,4,5
C Developer,Tracy Smith,5,3,4,3,0,3,3,3,5,0
C Developer,James Holland,5,3,5,1,3,0,0,2,5,2
C Developer,John Thompson,4,2,4,4,2,4,0,4,4,0
C Developer,Christopher Evans,4,1,5,1,0,4,2,0,5,0
C Developer,Shannon Evans,5,3,5,1,0,0,1,2,5,1
C Developer,Amber Little,5,3,4,4,1,5,2,0,4,1
C Developer,Jamie Gomez,4,0,5,4,1,3,3,0,5,3
C Developer,Donna Greene,5,2,5,1,1,2,3,2,4,4
C Developer,Peter Hunter,4,0,4,0,1,2,3,2,4,1
C Developer,Troy Rodriguez,5,3,5,0,0,0,3,4,5,1
C Developer,Michele Shepherd,5,1,5,3,0,1,1,1,5,2
C Developer,Greg Montes,5,1,5,1,2,5,1,3,5,4
C Developer,Katherine Stevens,5,3,5,4,3,1,1,0,4,4
C Developer,Austin Webster,5,1,5,4,3,0,0,2,4,4
C Developer,Renee Cameron,5,4,5,4,0,2,1,2,4,2
C Developer,Dr. Marissa Lewis MD,4,0,4,4,1,4,3,3,4,0
C Developer,Kyle Brady,5,3,5,1,1,3,3,0,5,2
C Developer,Kimberly Ponce,4,3,4,4,0,2,3,4,5,0
C Developer,Miss Wendy Sanford,4,4,5,3,3,1,3,2,5,1
C Developer,Ashley Mcdaniel,5,2,5,4,2,0,1,3,5,2
C Developer,Catherine Huerta DVM,4,0,4,1,0,4,2,4,5,1
C Developer,Travis Wheeler,5,1,4,3,0,0,2,4,5,4
C Developer,Loretta Woods,4,4,5,0,2,4,2,4,4,2
C Developer,Yvonne Snyder,4,1,5,4,3,4,2,0,4,2
C Developer,Gina Rodriguez,4,0,5,0,3,3,0,4,4,5
C Developer,Michael Schmidt,5,1,5,1,2,5,2,2,5,2
C Developer,Andrew Griffith,4,1,4,0,1,5,0,2,5,1
C Developer,Brent Smith,4,3,4,4,2,2,2,2,5,2
C Developer,Angela Garza,5,1,4,1,1,0,3,0,4,1
C Developer,Martha Baldwin,4,3,5,0,0,2,2,1,4,3
C Developer,Angela Hebert,5,4,4,4,1,4,3,2,5,3
C Developer,Brenda Anderson,5,2,4,2,3,4,0,3,5,5
C Developer,Julie Baker,4,1,5,4,2,3,1,0,4,2
C++ Developer,Sara Gonzalez,3,4,4,3,3,1,3,1,4,4
C++ Developer,Jeffrey Fowler,3,4,5,2,1,2,1,2,5,1
C++ Developer,Nancy Stewart,3,4,4,0,3,0,3,2,4,2
C++ Developer,Sarah Phillips,2,4,4,2,2,2,3,3,5,2
C++ Developer,Henry Horn,0,4,4,1,1,3,3,2,4,2
C++ Developer,Corey Romero,0,4,4,3,3,3,4,2,5,3
C++ Developer,Elizabeth Alvarado,1,4,5,1,0,2,4,1,4,2
C++ Developer,Jessica Quinn,0,4,4,3,3,3,0,5,4,2
C++ Developer,Cassandra Sexton,0,5,5,2,1,1,1,2,5,5
C++ Developer,Corey Murray,2,5,4,0,2,0,5,5,4,4
C++ Developer,Cynthia Lopez,0,5,4,1,3,4,1,5,4,0
C++ Developer,Teresa Allen,0,4,4,3,3,1,5,0,5,1
C++ Developer,Catherine Clark,2,4,5,1,1,2,3,1,4,5
C++ Developer,Kelly Fowler,0,5,5,1,0,2,3,0,5,3
C++ Developer,Scott Lopez,3,5,5,0,1,1,5,2,5,2
C++ Developer,Amber Miller,1,5,5,3,1,2,0,0,4,0
C++ Developer,Joseph White,0,5,5,2,1,2,2,4,4,2
C++ Developer,Tara Foley,0,4,5,0,2,0,1,5,5,4
C++ Developer,Tyler Hernandez,1,4,4,1,0,2,2,0,5,2
C++ Developer,Samuel Wolfe,3,4,4,2,0,0,5,3,4,4
C++ Developer,Evan Conley,2,4,4,1,2,2,3,4,4,4
C++ Developer,Frances Harris,3,4,5,3,1,3,4,0,4,5
C++ Developer,Philip Williams,1,4,5,3,3,1,4,2,4,0
C++ Developer,Dustin Robles,3,5,4,3,0,4,0,2,4,3
C++ Developer,Jenna Reed,1,4,4,1,3,3,2,5,5,1
C++ Developer,James Kelly,3,5,5,3,1,2,5,1,5,5
C++ Developer,Dr. Ryan Padilla Jr.,1,5,4,1,3,2,3,2,4,1
C++ Developer,Robert Flynn,3,4,5,0,1,2,2,2,4,0
C++ Developer,Joseph Brown,0,4,5,3,2,4,4,5,5,3
C++ Developer,Christian Rodriguez,1,5,4,2,0,1,0,4,5,2
C++ Developer,Brandi Klein,0,4,5,3,2,3,1,4,5,1
C++ Developer,Dan Sanders,3,5,5,0,3,1,5,0,4,2
C++ Developer,Christian Simpson,1,4,4,2,1,3,5,2,4,2
C++ Developer,April Chandler,3,4,5,0,2,2,5,1,4,2
C++ Developer,James Perez,1,4,5,1,2,0,1,3,4,2
C++ Developer,Carla Snyder,0,5,4,0,3,2,0,4,5,0
C++ Developer,Phillip Newman,2,4,5,3,1,0,5,5,5,3
C++ Developer,Brandon Ortiz,1,4,4,3,3,4,5,2,4,2
C++ Developer,Craig May,1,4,4,3,0,1,4,1,4,5
C++ Developer,Stacy Lucas,1,5,5,0,2,1,3,4,5,5
C++ Developer,Kathryn Nguyen,3,5,4,3,2,0,5,0,5,0
C++ Developer,Carl Moreno,2,5,4,1,3,2,1,2,4,0
C++ Developer,Brandon Ramirez,3,4,4,2,1,0,2,1,4,5
C++ Developer,Danny Baker,1,5,5,1,0,4,4,2,5,0
C++ Developer,Stephanie Larson,0,5,4,1,1,0,5,3,5,5
C++ Developer,Jessica Baldwin,3,5,4,0,0,0,1,3,5,3
C++ Developer,Patrick Reeves,0,5,5,2,0,4,5,0,5,2
C++ Developer,Karen Johnston,0,4,4,2,1,4,3,3,5,3
C++ Developer,Hannah Arnold DDS,1,4,4,3,1,3,5,2,5,2
C++ Developer,Amber Bush,1,4,5,1,3,2,5,4,5,5
C++ Developer,Patricia Brooks,3,5,5,0,1,0,3,4,4,1
C++ Developer,Mariah Ewing,0,4,5,0,1,3,4,4,5,0
C++ Developer,Ashley Wells,0,5,4,1,0,1,0,4,4,0
C++ Developer,Arthur Cantu,2,4,5,1,0,3,5,1,4,4
C++ Developer,Christopher Munoz,1,5,4,2,0,1,5,5,4,3
C++ Developer,Kimberly Sheppard,1,4,5,1,1,0,1,1,4,5
C++ Developer,Erica Collins,3,4,4,2,2,3,4,5,5,1
C++ Developer,Audrey Hanson,1,5,4,3,1,4,5,5,4,0
C++ Developer,Gregory Page,1,4,5,3,1,1,2,1,4,5
C++ Developer,Roger Hensley,2,4,4,0,0,4,3,3,4,3
C++ Developer,Daniel Garcia,2,5,5,1,2,0,0,1,4,0
C++ Developer,Jennifer Wells,2,4,5,0,1,4,1,5,5,0
C++ Developer,Amy Miller,2,5,5,3,1,4,2,5,5,3
C++ Developer,Nathan Gonzalez,2,5,4,2,2,3,3,3,4,3
C++ Developer,David Henson,0,5,4,1,0,0,4,3,4,0
C++ Developer,Bob Thompson,1,4,5,3,3,1,5,1,5,2
C++ Developer,Jack Williams,2,4,4,0,1,3,5,4,5,2
C++ Developer,Joe Spence,3,5,5,0,1,2,5,5,5,0
C++ Developer,Daniel Sanchez,0,4,4,1,3,2,4,3,5,4
C++ Developer,Nicholas Peterson,2,5,4,3,0,4,4,4,5,2
C++ Developer,Meredith Mayer,2,5,4,3,1,4,3,5,5,0
C++ Developer,Marissa Torres,1,4,5,3,0,3,5,3,5,3
C++ Developer,Dana Taylor,0,4,4,0,3,2,5,0,5,2
C++ Developer,Jennifer Haas,1,5,5,1,2,4,4,3,5,2
C++ Developer,Lynn Myers,3,5,5,0,0,4,5,3,4,0
C++ Developer,Kyle Baker,2,5,5,1,0,0,1,1,5,1
C++ Developer,Kevin Fuller,0,4,4,3,3,4,4,4,4,2
C++ Developer,Amber Flores DDS,1,4,4,1,1,2,2,1,5,5
C++ Developer,John Garcia,2,5,4,0,3,0,5,4,4,1
C++ Developer,Michelle Jackson,0,5,5,0,1,4,2,1,4,4
C++ Developer,Sarah Mendoza,3,5,4,2,0,3,3,1,4,5
C++ Developer,Mark Turner,0,5,4,0,3,2,2,2,4,2
C++ Developer,Amber Medina,0,5,5,0,0,3,2,0,4,3
C++ Developer,Michael Reed,3,5,5,0,1,1,2,4,5,5
C++ Developer,Rodney Hunter,2,5,5,3,0,2,4,2,4,5
C++ Developer,Christine Bowman MD,1,5,4,0,1,4,5,0,5,1
C++ Developer,Sandra Garrett,3,5,5,1,1,0,2,5,5,4
C++ Developer,Angela Booker,3,5,4,0,2,2,5,1,5,1
C++ Developer,David Mason,1,4,4,3,3,2,5,4,4,4
C++ Developer,Austin York,3,4,4,2,3,3,4,5,4,0
C++ Developer,Tabitha Jackson,0,4,5,1,1,4,3,1,5,1
C++ Developer,Michelle Goodwin,3,4,4,0,2,3,2,1,5,4
C++ Developer,Ashley Wagner,2,5,4,0,1,0,3,3,4,4
C++ Developer,Karen Cook,1,4,5,3,3,2,5,3,4,2
C++ Developer,John Nichols,0,5,5,3,3,0,4,1,4,3
C++ Developer,Amy Yu,3,5,5,0,0,2,3,1,5,3
C++ Developer,Samuel Garcia,2,4,5,3,3,0,0,3,5,1
C++ Developer,Mark Gonzalez,1,4,5,2,3,0,4,2,4,3
C++ Developer,Chad Hartman,3,5,5,1,0,4,1,4,5,0
C++ Developer,Clifford Hendrix,2,4,4,0,3,2,5,3,5,5
Python Developer,Charles Clements,1,3,4,4,4,1,2,4,3,2
Python Developer,Keith Casey,0,1,5,5,4,5,4,5,0,3
Python Developer,Shannon James,0,2,5,5,2,5,0,5,1,1
Python Developer,Anna Garza,1,2,4,4,0,5,0,4,5,2
Python Developer,Karen Hall,2,1,5,4,0,0,2,5,0,3
Python Developer,Sean Harrison,2,1,5,4,1,1,3,4,2,3
Python Developer,Sharon Waller,3,0,5,5,2,5,2,5,1,3
Python Developer,Kimberly Singh,3,3,4,5,4,0,5,5,1,0
Python Developer,Joseph Pham MD,3,3,5,5,3,5,5,4,0,4
Python Developer,Jacob Simon MD,1,3,4,4,1,1,3,5,0,5
Python Developer,William Garcia,2,1,4,5,0,4,0,5,1,5
Python Developer,Timothy Robinson,1,1,4,5,3,1,3,4,5,1
Python Developer,Kelli Roberts,0,2,5,4,1,4,1,5,3,0
Python Developer,Kristina Hill,0,0,5,4,1,0,1,5,5,4
Python Developer,Derrick Ali,3,3,5,4,3,2,1,4,3,3
Python Developer,Robert Jones,1,3,4,4,1,4,3,5,1,3
Python Developer,Erin Moore,0,3,5,4,1,2,5,4,3,4
Python Developer,Daniel Carpenter,2,1,5,5,0,3,4,4,4,5
Python Developer,Mario Brewer,0,1,4,4,3,3,1,5,4,1
Python Developer,Brianna Frost,3,2,4,4,0,1,1,5,5,5
Python Developer,Megan Wagner,2,2,4,4,1,3,1,5,4,2
Python Developer,Sarah Meyers,0,2,4,5,2,3,3,5,3,0
Python Developer,Chad Romero,2,1,4,5,1,5,1,5,4,3
Python Developer,Christopher Baker,3,3,4,4,2,4,5,5,1,3
Python Developer,Jonathan Everett,1,3,4,5,4,3,0,4,2,5
Python Developer,Michelle Campbell,0,3,5,5,3,5,5,5,1,1
Python Developer,John Carter Jr.,1,0,4,4,0,4,0,5,3,4
Python Developer,Lisa Cole,0,0,4,5,1,4,4,5,3,2
Python Developer,Kathleen Davis,3,0,5,4,4,5,2,5,2,3
Python Developer,Morgan Kelly,3,0,4,4,4,1,3,4,5,3
Python Developer,Jennifer Mejia,0,0,4,5,1,2,4,4,5,3
Python Developer,Chad Lopez,2,1,5,5,4,5,2,5,2,5
Python Developer,Richard Munoz,1,2,5,5,3,3,3,5,1,3
Python Developer,Oscar Miller,2,3,5,4,4,0,2,5,5,5
Python Developer,Hannah Smith,2,2,4,4,2,5,3,4,2,5
Python Developer,Mr. John Coleman,2,3,4,4,2,2,1,5,3,1
Python Developer,Michelle Fox,2,1,4,4,3,5,5,5,5,1
Python Developer,Richard Carson,2,3,5,5,3,3,2,5,4,4
Python Developer,Elizabeth Powell,0,1,4,5,0,3,5,4,0,4
Python Developer,Colleen Gilbert,1,2,5,4,2,2,1,5,2,5
Python Developer,Dr. Kristen Marquez,0,2,5,4,0,1,3,4,5,2
Python Developer,Morgan Adams,2,3,4,4,0,1,1,5,3,2
Python Developer,Stephen Lin,0,2,5,5,3,0,5,4,3,0
Python Developer,Monica Adams,0,3,4,4,3,3,2,4,5,1
Python Developer,Rachel Boyd,2,2,4,4,0,5,5,5,2,5
Python Developer,Lisa Willis,0,2,5,4,0,5,3,5,4,4
Python Developer,Jacob Obrien,3,3,5,5,1,0,3,5,3,4
Python Developer,Lisa Guerrero,3,2,5,4,3,3,0,5,5,1
Python Developer,Daniel Turner,2,0,5,5,2,3,4,4,2,3
Python Developer,Michael Freeman,2,0,5,4,4,3,0,4,2,4
Python Developer,Julie Buchanan,1,2,5,5,3,3,0,5,3,0
Python Developer,Brooke Morgan,1,1,5,4,3,1,1,5,0,2
Python Developer,Erik Peters,1,2,5,5,1,4,5,4,5,3
Python Developer,Jared Leon,3,1,4,4,4,1,0,5,2,3
Python Developer,Dennis Mathis,3,1,5,5,2,1,3,5,5,1
Python Developer,Elizabeth Jones DDS,1,0,4,5,4,0,3,5,3,0
Python Developer,Scott Miller,1,3,5,4,1,2,5,4,4,4
Python Developer,Keith Pierce,0,1,5,4,2,5,4,4,2,3
Python Developer,Deanna Lewis,2,1,4,5,0,5,3,4,0,3
Python Developer,Jennifer Sanders,1,0,4,5,1,1,1,4,3,4
Python Developer,Suzanne Johnson,0,3,5,5,0,0,0,4,0,0
Python Developer,Tyler Ward,2,1,4,5,1,5,5,5,3,2
Python Developer,Mark Sherman,1,3,4,4,3,5,2,5,3,4
Python Developer,Stacy Anderson,2,2,4,4,4,1,1,5,4,2
Python Developer,Christina Lynn,1,1,4,5,3,1,4,4,3,3
Python Developer,Taylor Evans,2,1,5,4,4,4,0,5,2,1
Python Developer,Christopher Kim,2,0,5,5,0,0,1,4,0,4
Python Developer,Lisa Brown,0,3,4,4,4,5,0,5,0,0
Python Developer,Robin Rosario,0,0,5,5,0,0,4,4,1,2
Python Developer,Deborah Flynn,0,3,4,5,3,0,4,5,4,0
Python Developer,Chad Cruz,1,3,5,5,2,0,3,4,0,3
Python Developer,Stephanie Ball,0,0,4,4,1,3,5,4,0,2
Python Developer,Robert Gibson,2,1,4,4,4,3,3,4,2,5
Python Developer,Kimberly Barron,0,1,5,4,2,3,5,4,5,0
Python Developer,Michael Dawson,1,2,5,5,3,2,0,5,3,4
Python Developer,Raymond Conway,1,1,5,4,1,4,2,5,3,1
Python Developer,Robin Fisher,3,0,4,5,1,2,4,5,1,1
Python Developer,Jerry Walsh,0,0,5,5,4,2,3,5,1,5
Python Developer,Matthew Alvarez,3,2,5,4,1,5,3,4,3,2
Python Developer,Amy Walker MD,2,1,5,5,3,4,3,5,1,0
Python Developer,Shawn Delacruz,3,0,4,4,2,4,3,5,2,5
Python Developer,Billy King,3,0,4,5,4,2,5,5,2,3
Python Developer,Courtney Becker,3,0,4,5,2,3,2,5,1,5
Python Developer,Julie Smith,1,3,4,5,1,2,4,5,1,4
Python Developer,Gabriella Rice,1,0,4,5,1,5,5,5,3,0
Python Developer,Erik Hill,0,2,5,4,3,2,5,5,3,2
Python Developer,Dylan Jenkins,3,3,4,4,3,2,0,4,4,4
Python Developer,Dana Wood,1,2,5,5,4,2,2,4,4,1
Python Developer,Victoria Simmons,2,3,4,4,0,2,1,4,2,2
Python Developer,Lisa Wells,3,0,5,5,2,0,4,4,5,1
Python Developer,Courtney Anderson,2,1,5,5,1,2,5,5,3,5
Python Developer,Richard Brewer,3,3,5,4,4,2,4,4,2,5
Python Developer,Shawn Brown,0,2,4,4,1,4,1,5,0,2
Python Developer,Brooke Moore,3,0,5,4,1,4,1,4,1,1
Python Developer,Annette Wiley,2,0,4,4,2,3,2,5,0,2
Python Developer,William Collins,2,1,5,4,0,0,5,4,0,1
Python Developer,Tiffany Owens,2,3,5,4,0,0,1,5,4,4
Python Developer,Andrea Graham PhD,0,2,4,4,4,4,5,5,2,4
Python Developer,James Daniels,3,3,5,4,3,1,3,4,1,2
Python Developer,Tony Byrd,2,1,5,4,2,1,1,4,2,2
ML Engineer,Lisa Johnson,2,4,5,4,4,4,5,5,4,3
ML Engineer,Jason Stewart,5,2,4,5,5,4,4,4,4,1
ML Engineer,Nicholas King,5,0,5,5,4,5,5,4,5,0
ML Engineer,Jennifer Tucker,1,1,4,4,5,4,4,4,5,1
ML Engineer,Jonathan Thompson,1,3,5,4,5,4,4,5,4,0
ML Engineer,Rebecca Miller,5,3,4,4,4,4,4,4,5,1
ML Engineer,Terry Garner,5,0,4,5,5,4,4,5,4,4
ML Engineer,Victoria Ortega,5,3,5,5,5,4,4,5,5,5
ML Engineer,Kendra Baldwin,1,0,5,5,5,5,5,4,5,0
ML Engineer,Steve Hayden,0,0,5,4,4,4,4,4,5,5
ML Engineer,Melvin Hall,4,0,5,4,5,5,5,4,4,0
ML Engineer,Jessica Ortiz,2,3,4,4,5,4,4,4,5,2
ML Engineer,Joshua Ramirez,3,4,5,5,5,4,4,5,4,5
ML Engineer,Carrie Ingram,5,1,5,5,4,4,4,4,5,0
ML Engineer,Willie Stewart,3,5,5,5,5,4,4,4,5,2
ML Engineer,Gregory Scott,1,1,5,5,5,4,5,4,5,3
ML Engineer,Brittany Barnes,4,1,5,5,5,5,5,5,4,2
ML Engineer,Kathleen Farrell,5,1,5,4,5,5,5,4,5,0
ML Engineer,Henry Branch,1,2,5,5,4,5,5,5,4,3
ML Engineer,Ashley Frank,1,3,5,4,5,4,4,5,5,3
ML Engineer,Jason Horton,1,3,4,4,4,4,5,5,4,1
ML Engineer,Danny Franco,5,2,5,5,4,4,4,4,5,0
ML Engineer,Kathryn Mcdowell,1,1,4,4,5,4,4,4,5,0
ML Engineer,Julie Dominguez,0,5,4,5,5,4,4,5,4,4
ML Engineer,Elizabeth Wilson,4,0,5,5,4,4,5,4,4,0
ML Engineer,Jorge Ortiz,4,3,5,5,4,5,4,4,4,5
ML Engineer,Michael Davis,5,0,5,4,4,5,5,5,5,5
ML Engineer,Jesse Lee,3,1,5,4,5,4,5,5,5,1
ML Engineer,Jessica Harvey,0,1,4,5,4,5,4,4,4,0
ML Engineer,Craig Bailey,5,1,5,5,4,5,5,5,5,3
ML Engineer,Robert Vaughn,2,3,4,4,4,4,5,4,4,2
ML Engineer,James Johnson,0,5,5,4,5,4,4,4,4,2
ML Engineer,Lori Alexander,5,4,4,4,5,4,4,4,4,1
ML Engineer,Jennifer Rivera,1,5,5,5,4,4,5,5,4,2
ML Engineer,Selena Mejia,4,4,5,5,5,4,5,4,4,0
ML Engineer,Chad Watkins,1,1,5,4,4,4,5,5,4,3
ML Engineer,Shane Lewis,3,4,5,4,4,5,4,5,5,2
ML Engineer,Calvin Pope,0,1,5,5,5,5,5,4,4,4
ML Engineer,Bryan Hall,3,5,5,4,4,4,4,5,4,4
ML Engineer,Alexandria Thompson,0,2,5,5,5,4,4,4,5,1
ML Engineer,Rhonda Kelly,4,4,4,5,4,5,5,4,4,5
ML Engineer,Robert Maldonado,5,2,4,4,4,4,4,4,5,0
ML Engineer,Crystal French,0,0,5,5,4,5,5,4,5,3
ML Engineer,Monica Ramirez,2,5,4,5,5,4,4,4,5,3
ML Engineer,Tina Bolton,4,5,5,5,4,4,4,5,5,5
ML Engineer,Gary Taylor,5,0,4,4,5,5,5,5,5,5
ML Engineer,Keith Reed,0,3,5,4,4,4,5,5,5,3
ML Engineer,Thomas Sloan,3,2,5,4,4,5,5,4,4,1
ML Engineer,Roy Carpenter,3,0,5,4,4,4,4,5,4,5
ML Engineer,Charles Underwood,0,3,5,5,5,4,4,4,5,1
ML Engineer,Michael Brown,2,2,4,5,4,4,5,5,5,3
ML Engineer,Elizabeth Anderson,2,5,4,4,5,4,4,5,4,4
ML Engineer,Mary Williamson,4,5,4,4,5,5,5,4,4,5
ML Engineer,Anthony Brock,2,3,5,4,5,4,4,5,5,3
ML Engineer,Gina Crawford,5,2,4,4,5,4,4,4,4,5
ML Engineer,Pamela Rivas,2,1,5,4,4,4,4,4,4,1
ML Engineer,James Estrada,4,2,4,5,5,5,5,4,5,5
ML Engineer,Christopher Liu,0,0,5,5,5,5,4,5,4,2
ML Engineer,Micheal Gibbs,3,4,5,4,5,4,4,5,5,4
ML Engineer,Erin Greer,0,0,5,5,5,4,5,4,4,4
ML Engineer,Lisa Myers,2,1,5,5,5,5,5,5,4,4
ML Engineer,Marc Glenn,2,4,5,4,4,4,4,5,4,2
ML Engineer,Mrs. Jamie Clark MD,0,3,4,4,5,4,5,5,4,3
ML Engineer,Patrick Cortez,2,5,5,5,4,5,4,4,4,5
ML Engineer,Jessica Young,5,2,5,4,4,4,5,5,4,3
ML Engineer,Caroline Hinton,3,3,5,5,5,4,5,5,5,3
ML Engineer,Toni Dickson,0,0,5,5,4,5,5,4,4,0
ML Engineer,Marvin Richards,1,3,5,5,5,5,5,4,4,1
ML Engineer,Angela Briggs,0,1,4,4,5,4,5,5,4,3
ML Engineer,Jacob Pena,1,3,5,4,4,4,4,5,4,1
ML Engineer,Alison Mason,0,5,5,4,4,5,5,5,4,4
ML Engineer,Tammy Terry,0,4,5,4,5,4,4,5,4,2
ML Engineer,Andrea Ramirez,0,2,5,4,4,4,5,5,4,4
ML Engineer,Brian Arnold,4,5,5,4,4,5,4,5,5,3
ML Engineer,Caitlin Garner,4,3,4,5,4,4,5,5,4,1
ML Engineer,Evan Ball,4,2,4,5,4,5,5,5,4,4
ML Engineer,Angela Harvey,0,4,5,4,5,4,4,4,4,5
ML Engineer,Isaac Schwartz,1,1,4,5,4,5,5,5,5,4
ML Engineer,Joseph Brandt,5,5,4,5,4,4,4,4,4,4
ML Engineer,Sherry Payne DDS,0,0,5,5,5,5,5,5,5,3
ML Engineer,Linda Knight,2,2,5,4,4,5,5,5,5,3
ML Engineer,Robert Mitchell,4,1,4,4,5,5,4,4,4,5
ML Engineer,Alexis Rogers,3,0,4,4,5,5,4,5,4,2
ML Engineer,Dan Clark,5,5,4,5,4,4,5,5,4,1
ML Engineer,Rhonda King,0,3,4,4,4,4,4,5,5,3
ML Engineer,Catherine Morris,5,1,4,4,4,4,4,5,5,2
ML Engineer,Lori Hall,5,4,5,5,5,5,4,4,5,0
ML Engineer,Carol Hunter,3,1,4,4,4,4,5,5,4,5
ML Engineer,Jamie Adams,3,5,5,4,5,4,5,4,4,4
ML Engineer,Taylor Wallace,0,0,4,4,4,4,5,4,4,0
ML Engineer,Ian Fowler,5,2,5,5,5,4,5,4,4,3
ML Engineer,Nicole Wright,1,0,4,5,4,5,4,5,5,4
ML Engineer,Kenneth Lee,1,0,4,4,4,5,4,5,4,5
ML Engineer,Heather Brown,1,4,4,4,5,4,5,4,4,0
ML Engineer,Emily Brown,4,4,5,5,5,5,5,5,4,0
ML Engineer,Jennifer Shaw,0,0,5,5,5,5,5,5,4,5
ML Engineer,Nicholas Boyle,5,4,5,4,4,5,4,4,4,4
ML Engineer,Edward Brown,0,3,5,5,5,5,5,5,5,2
ML Engineer,Matthew Holland,5,0,4,4,4,5,5,5,4,2
ML Engineer,James Castro,1,0,4,4,5,5,5,4,4,2
